"year","productivity"
1956,270370
1957,283799
1958,442132
1959,478899
1960,386701
1961,213041
1962,373401
1963,211985
1964,312120
1965,240872
1966,396246
1967,424827
1968,455881
1969,484630
1970,414525
1971,236177
1972,343380
1973,242049
1974,443805
1975,345362
1976,424955
1977,680778
1978,348426
1979,428892
1980,458642
1981,184797
1982,193557
1983,201229
1984,418810
1985,296308
1986,251292
1987,542290
1988,392315
1989,346604
1990,200394
1991,193027
1992,160893
1993,310008
1994,231487
1995,160121
1996,283595
1997,293922
1998,142132
1999,256077
2000,121703
2001,320303
2002,279508
2003,224710
2004,267544
2005,146243
2006,187997
2007,177783
2008,193189
2009,235219
2010,244609
2011,224124
2012,304098
2013,328577
2014,234324
2015,308520
2016,296449
